author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Недвижимость - Ближнее Переделкино,real_estate_agent,https://www.cian.ru/sale/flat/300432513/,Москва,sale,flat,11,12,1,38.1,-1,0,8800000.0,, Мостовая,5к2,Коммунарка,"Новые Ватутинки, мкр. Десна"
Новая Высота,real_estate_agent,https://www.cian.ru/sale/flat/300821296/,Москва,sale,flat,15,17,1,43.4,-1,0,8800000.0,, Бачуринская,22к3,Коммунарка,Коммунарка
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/300612098/,Москва,sale,flat,1,9,1,34.1,-1,0,8800000.0,Отрадное,Юрловский проезд,7,Отрадное,
Елизавета Муравьева,realtor,https://www.cian.ru/sale/flat/289787413/,Москва,sale,flat,9,9,1,33.0,-1,0,8888000.0,Выхино-Жулебино,Волгоградский проспект,164К1,Юго-Восточная,
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/294043122/,Москва,sale,flat,16,17,1,37.6,-1,0,8800000.0,, Текстильщиков,3,Крёкшино,Троицк Е-39 (Фаворит)
Иван Горностаев,realtor,https://www.cian.ru/sale/flat/294985115/,Москва,sale,flat,25,26,1,38.0,-1,0,8800000.0,Ярославский,Лосиноостровская ,вл45к2,Бабушкинская,Сказочный лес
Карина Онисковец,realtor,https://www.cian.ru/sale/flat/298294541/,Москва,sale,flat,6,9,1,35.8,-1,0,8800000.0,Гольяново,Красноярская ,17,Щёлковская,
Татьяна Ручкина,realtor,https://www.cian.ru/sale/flat/301030650/,Москва,sale,flat,13,17,1,38.2,-1,0,8800000.0,Крюково,Зеленоград,к2034,Зеленоград — Крюково,
LUZIYA CLUB,real_estate_agent,https://www.cian.ru/sale/flat/301038191/,Москва,sale,flat,4,9,1,36.3,-1,0,8850000.0,,,,Ольховая,Бунинские Кварталы ЖК
Самолет Плюс,real_estate_agent,https://www.cian.ru/sale/flat/301833785/,Москва,sale,flat,5,9,1,46.2,-1,0,8900000.0,,,,Крёкшино,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/301825723/,Москва,sale,flat,4,14,1,36.5,-1,0,8900000.0,, 3-я Нововатутинская,,Ольховая,"Новые Ватутинки, мкр. Центральный"
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300198534/,Москва,sale,flat,1,9,1,38.2,-1,0,8970000.0,Ясенево, Рокотова,8К2,Ясенево,
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/300245851/,Москва,sale,flat,2,14,1,41.0,-1,0,8999999.0,, 6-я Нововатутинская,3,Коммунарка,"Новые Ватутинки, мкр. Центральный"
Олеся Алексеевна Злобина,realtor,https://www.cian.ru/sale/flat/301701455/,Москва,sale,flat,17,24,1,25.0,-1,0,8900000.0,Митино,Муравская ,46к4,Митино,
МосИпотека,real_estate_agent,https://www.cian.ru/sale/flat/301149366/,Москва,sale,flat,7,9,1,35.5,-1,0,8990000.0,Люблино,Краснодарская ,51К4,Люблино,
