author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301130077/,Москва,sale,flat,17,17,2,60.0,-1,0,14300000.0,, Летчика Грицевца,12,Пыхтино,Солнцево парк
МонАрх,developer,https://www.cian.ru/sale/flat/295830571/,Москва,sale,flat,16,30,2,52.6,-1,0,14543900.0,Черемушки, Наметкина,10Д,Воронцовская,Комплекс апартаментов AIST RESIDENCE
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/298803552/,Москва,sale,flat,7,12,2,54.0,-1,0,14500000.0,Богородское,Погонный проезд,5К2,Белокаменная,
ID 111759195,developer,https://www.cian.ru/sale/flat/296871838/,Москва,sale,flat,2,14,2,51.9,-1,0,14528367.0,Рязанский,Рязанский проспект,,Окская,balance
3SGroup,developer,https://www.cian.ru/sale/flat/299381044/,Москва,sale,flat,2,17,2,64.3,-1,0,14417346.0,,,,Корниловская,FOREVILLE
WHITE BROKER,real_estate_agent,https://www.cian.ru/sale/flat/301431218/,Москва,sale,flat,12,12,2,45.8,-1,0,14500000.0,Отрадное,Северный бульвар,6,Отрадное,
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/292139486/,Москва,sale,flat,1,12,2,71.0,-1,0,14500000.0,,,36,Саларьево,
Евгений Подгорнов,realtor,https://www.cian.ru/sale/flat/301341551/,Москва,sale,flat,3,14,2,60.0,-1,0,14500000.0,Марьино,Белореченская ,37К2,Люблино,
Leto Estate,real_estate_agent,https://www.cian.ru/sale/flat/299110435/,Москва,sale,flat,9,9,2,47.7,-1,0,14500000.0,Восточное Измайлово,11-я Парковая ,9/35,Первомайская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300223179/,Москва,sale,flat,4,12,2,44.9,-1,0,14500000.0,Можайский,Гродненская ,4К2,Кунцевская,
